client_sk,client_id,first_name,last_name,date_of_birth,gender,city,country,acquisition_channel
47,CL-000047,Birthe,Ullrich,2003-12-21,Female,Essen,Germany,Partner
48,CL-000048,Thilo,Rudolph,1979-07-09,Male,Berlin,Germany,Referral
49,CL-000049,Hugo,Henk,1993-09-13,Male,Hamburg,Germany,Partner
50,CL-000050,Wilfried,Ladeck,1953-04-07,,Berlin,Germany,Referral
51,CL-000051,Dominik,Dietz,1985-02-25,,Frankfurt,Austria,Referral
52,CL-000052,Stephan,Klapp,1969-02-18,,Hamburg,Austria,Referral
53,CL-000053,Harm,Mosemann,1999-02-03,Male,München,Germany,Referral
54,CL-000054,Monika,Bloch,1986-02-17,Female,München,Germany,Web
55,CL-000055,Mato,Seidel,1947-01-03,Male,Düsseldorf,Germany,Event
56,CL-000056,Anna-Marie,Kusch,1989-11-11,Female,Stuttgart,Germany,Web
57,CL-000057,Guntram,Dörr,1957-03-25,Male,Köln,Germany,Referral
58,CL-000058,Drago,Grein Groth,1976-10-20,Male,Essen,Germany,Referral
59,CL-000059,Helmut,Etzold,1969-01-06,Male,Berlin,Germany,Referral
60,CL-000060,Dirk,Holsten,1971-10-16,Male,München,Austria,Web
61,CL-000061,Elfie,Bruder,1970-06-19,Female,Frankfurt,Germany,Web
62,CL-000062,Ronny,Rogner,1946-12-21,Male,Berlin,Germany,Web
63,CL-000063,Anika,Siering,1977-02-04,Female,München,Germany,Referral
64,CL-000064,Sergio,Austermühle,2006-04-01,Male,Leipzig,Germany,Referral
65,CL-000065,Bayram,Weller,1998-01-23,Male,München,Germany,Referral
66,CL-000066,Edeltrud,Geisel,1967-12-19,Female,Stuttgart,Germany,Referral
67,CL-000067,Ingbert,Nerger,1954-11-08,Male,Köln,Germany,Web
68,CL-000068,Songül,Kühnert,2001-09-20,Female,Köln,Germany,Web
69,CL-000069,Anselm,Gehringer,1966-02-05,Male,Düsseldorf,Germany,Referral
70,CL-000070,Adelheid,Krebs,1958-05-10,Female,Köln,Germany,Partner
71,CL-000071,Vinko,Ziegert,1993-09-26,Male,München,Germany,Event
72,CL-000072,Ira,Hörle,1969-02-03,Female,Köln,Germany,Partner
73,CL-000073,Nicolai,Wagenknecht,2008-01-18,Male,Bochum,Germany,Event
74,CL-000074,Rahel,Röhricht,1985-05-07,Female,Hannover,Germany,Web
75,CL-000075,Mina,Neuschäfer,1950-11-04,Female,München,Germany,Web
76,CL-000076,Cordula,Hübel,1955-02-14,Female,Stuttgart,Germany,Referral
77,CL-000077,Yusuf,Bohlander,1979-09-21,Male,Düsseldorf,Germany,Web
78,CL-000078,Nadia,Riehl,1944-06-16,Female,Berlin,Germany,Referral
79,CL-000079,Peter-Michael,Johann,1944-03-13,Male,Berlin,Germany,Referral
80,CL-000080,Andrei,Sauer,1972-10-02,Male,Düsseldorf,Germany,Referral
81,CL-000081,Jan-Peter,Radisch,1951-01-09,Male,Frankfurt,Germany,Referral
82,CL-000082,Andy,Pechel,1945-10-05,Male,Leipzig,Germany,Web
83,CL-000083,Sigrun,Gotthard,1944-12-21,Female,Stuttgart,Germany,Referral
84,CL-000084,Konstantinos,Börner,1986-04-04,Male,Stuttgart,Germany,Event
85,CL-000085,Stephan,Heinz,1967-10-14,Male,Stuttgart,Germany,Web
86,CL-000086,Bruno,Roskoth,1957-01-23,Male,Hamburg,Germany,Referral
87,CL-000087,Klaas,Scheibe,1943-01-05,Male,Düsseldorf,Germany,Referral
88,CL-000088,Lorenzo,Butte,1968-11-01,Male,Köln,Germany,Referral
89,CL-000089,Mattias,Säuberlich,1978-10-09,Male,Frankfurt,Germany,Web
90,CL-000090,John,Jopich,2003-12-01,Male,München,Germany,Referral
91,CL-000091,Francesco,Haase,1985-11-19,Male,Berlin,Germany,Referral
92,CL-000092,Milica,Johann,1956-07-20,Female,Essen,Germany,Referral
93,CL-000093,Franjo,Kroker,1949-03-19,Male,Frankfurt,Switzerland,Referral
94,CL-000094,Marie-Therese,Seidel,1960-09-21,Female,Bochum,Germany,Partner
95,CL-000095,Irina,Jopich,2003-07-12,Female,Hamburg,Germany,Referral
96,CL-000096,Philippe,Briemer,1940-12-10,Male,Düsseldorf,Germany,Referral
97,CL-000097,Iris,Scholtz,2008-04-02,Female,Stuttgart,Germany,Web
98,CL-000098,Kunigunda,Ditschlerin,1945-04-17,Female,Köln,Germany,Event
99,CL-000099,Julian,Hamann,1974-09-25,Male,Köln,Germany,Web
100,CL-000100,Elsbeth,Eigenwillig,2003-10-26,Female,Berlin,Germany,Referral
101,CL-000101,Giesela,Bohnbach,2000-02-22,Female,Frankfurt,Germany,Partner
102,CL-000102,Eleni,Koch II,1959-09-14,Female,Frankfurt,Germany,Event
103,CL-000103,Caroline,Mangold,1997-01-16,Female,Berlin,Germany,Referral
104,CL-000104,Kira,Tlustek,1960-11-23,Female,Berlin,Germany,Partner
105,CL-000105,Leonard,Söding,1976-04-20,Male,Hannover,Germany,Partner
106,CL-000106,Adriane,Stahr,1995-11-30,Female,München,Germany,Event
107,CL-000107,Karl-Friedrich,Jacob,2003-09-18,Male,Bochum,Germany,Web
108,CL-000108,Mehdi,Döhn,2004-03-15,Male,Stuttgart,Germany,Partner
109,CL-000109,Susann,Eimer,1958-04-22,Female,Köln,Germany,Referral
110,CL-000110,Bogdan,Döring,1990-10-30,Male,Frankfurt,Germany,Referral
111,CL-000111,Kornelia,Förster,1958-11-04,Female,Hamburg,Germany,Partner
112,CL-000112,Friedbert,Schleich,1954-08-23,Male,Dortmund,Germany,Referral
113,CL-000113,Ortwin,Karz,1954-03-01,Male,Hannover,Germany,Partner
114,CL-000114,Marlen,Schulz,1998-05-08,Female,Stuttgart,Germany,Web
115,CL-000115,Elsa,Pärtzelt,1973-07-21,Female,Bochum,Germany,Referral
116,CL-000116,Elif,Birnbaum,1946-08-04,Female,Berlin,Germany,Web
117,CL-000117,Magret,Löchel,1996-09-29,Female,München,Germany,Referral
118,CL-000118,Erica,Beyer,1940-07-20,Female,Berlin,Germany,Referral
119,CL-000119,Guiseppe,Winkler,1949-03-18,Male,Köln,Germany,Partner
120,CL-000120,Marcel,Hesse,1951-04-22,Male,Hamburg,Germany,Partner
121,CL-000121,Jolanta,Margraf,1977-11-07,,München,Germany,Referral
122,CL-000122,Nikolaos,Loos,1978-06-24,Male,Hamburg,Germany,Referral
123,CL-000123,Aenne,Dowerg,1945-06-06,Female,Berlin,Switzerland,Web
124,CL-000124,Victoria,Stumpf,2001-10-27,Female,Köln,Germany,Web
125,CL-000125,Carin,Ritter,1942-10-05,Female,Frankfurt,Germany,Referral
126,CL-000126,Sergei,Koch II,1979-12-13,Male,Köln,Austria,Web
127,CL-000127,Korinna,Finke,1969-07-22,Female,Berlin,Germany,Web
128,CL-000128,Carl-Heinz,Berger,1961-04-14,Male,Köln,Germany,Referral
129,CL-000129,Ottokar,Benthin,2001-06-24,,Köln,Germany,Web
130,CL-000130,Giuseppina,Häring,1986-09-21,Female,Hamburg,Germany,Web
131,CL-000131,Faruk,Stahr,1947-04-21,Male,Dortmund,Switzerland,Referral
132,CL-000132,Gisela,Zahn,1978-05-29,Female,Frankfurt,Germany,Event
133,CL-000133,Thoralf,Ladeck,2006-07-30,Male,Hamburg,Germany,Referral
134,CL-000134,Lothar,Weiß,1950-10-29,Male,Köln,Germany,Web
135,CL-000135,Ursel,Hellwig,1999-02-22,Female,Berlin,Germany,Partner
136,CL-000136,Cathrin,Gierschner,2000-04-15,Female,München,Germany,Event
137,CL-000137,Henriette,Barth,1952-07-07,Female,Frankfurt,Germany,Event
138,CL-000138,Paul,Kade,1993-07-20,Male,Frankfurt,Germany,Event
139,CL-000139,Ute,Langern,1994-11-25,Female,Köln,Germany,Referral
140,CL-000140,Marie-Luise,Wähner,1995-06-25,Female,Frankfurt,Germany,Referral
141,CL-000141,Elfi,Hethur,1951-02-21,Female,Düsseldorf,Austria,Web
142,CL-000142,Raphaela,Tintzmann,1947-08-31,Female,Köln,Germany,Referral
143,CL-000143,Hans-J.,Bender,1998-09-26,Male,Hamburg,Germany,Event
144,CL-000144,Isabel,Hartung,1953-11-21,Female,Frankfurt,Austria,Event
145,CL-000145,Rosita,Mies,1964-02-07,Female,Hamburg,Germany,Partner
146,CL-000146,Gerhard,Heidrich,1955-06-24,Male,Düsseldorf,Germany,Referral
147,CL-000147,Alicja,Sorgatz,1953-06-14,Female,Düsseldorf,Germany,Referral
148,CL-000148,Hans-Walter,Jüttner,1959-04-08,Male,Berlin,Germany,Partner
149,CL-000149,Steven,Bohnbach,2006-02-08,Male,Düsseldorf,Germany,Event
150,CL-000150,Paula,Holsten,1964-03-15,Female,Frankfurt,Germany,Referral
151,CL-000151,Marian,Pechel,1967-07-05,Male,Nürnberg,Germany,Web
152,CL-000152,Hannah,Reising,1962-11-04,,Düsseldorf,Germany,Referral
153,CL-000153,Walter,Baum,1948-02-27,Male,Berlin,Germany,Web
154,CL-000154,Susana,Heß,1952-06-17,Female,Hamburg,Germany,Event
155,CL-000155,Klaus Dieter,Hettner,1942-11-29,Male,Düsseldorf,Germany,Event
156,CL-000156,Babette,Schenk,1969-11-18,Female,Hamburg,Germany,Web
157,CL-000157,Gesa,Vollbrecht,1993-10-28,Female,Köln,Switzerland,Event
158,CL-000158,Gerwin,Mälzer,1981-07-24,Male,Köln,Germany,Web
159,CL-000159,Judith,Drub,1966-07-10,Female,München,Germany,Partner
160,CL-000160,Rotraut,Rust,1953-03-30,,Hamburg,Germany,Referral
161,CL-000161,Elisabeth,Beyer,1988-07-16,Female,München,Germany,Partner
162,CL-000162,Heinz-Josef,Ackermann,1975-09-09,Male,Bochum,Germany,Event
163,CL-000163,Ursel,Renner,1987-01-18,Female,Essen,Germany,Referral
164,CL-000164,Minna,Weihmann,1990-06-19,Female,Nürnberg,Germany,Referral
165,CL-000165,Marie-Theres,Gunpf,1965-02-03,Female,Berlin,Germany,Web
166,CL-000166,Heinz-Georg,Bohnbach,2004-11-17,Male,Berlin,Germany,Web
167,CL-000167,Marianna,Kabus,1982-09-18,Female,Hamburg,Germany,Referral
168,CL-000168,Frederike,Spieß,1998-01-06,Female,Düsseldorf,Germany,Referral
169,CL-000169,Betty,Tschentscher,2001-07-22,Female,Essen,Switzerland,Web
170,CL-000170,Gerald,Patberg,1961-05-10,Male,München,Germany,Partner
171,CL-000171,Marica,Lange,1962-07-04,Female,München,Germany,Web
172,CL-000172,Helen,Textor,1960-06-05,Female,Berlin,Germany,Referral
173,CL-000173,Karl-Friedrich,Eckbauer,1953-05-13,Male,Hannover,Germany,Web
174,CL-000174,Hildburg,Stadelmann,2004-04-19,Female,Essen,Germany,Partner
175,CL-000175,Hans-Herbert,Stey,1991-03-21,Male,Berlin,Germany,Partner
176,CL-000176,Teresa,Gertz,1982-03-12,Female,Köln,Germany,Web
177,CL-000177,Lara,Jacobi Jäckel,1967-12-11,Female,Nürnberg,Germany,Referral
178,CL-000178,Kamil,Ackermann,1960-12-26,Male,Düsseldorf,Germany,Referral
179,CL-000179,Eva-Maria,Häring,1969-07-24,Female,Leipzig,Germany,Partner
180,CL-000180,René,Sager,1981-08-04,Male,Berlin,Germany,Web
181,CL-000181,Margit,Jungfer,1971-12-14,Female,Bochum,Germany,Referral
182,CL-000182,Inga,Margraf,1986-04-14,Female,Frankfurt,Germany,Event
183,CL-000183,Eitel,Pergande,1972-07-05,Male,München,Germany,Referral
184,CL-000184,Robert,Wähner,1951-11-09,Male,Bochum,Germany,Web
185,CL-000185,Maurice,Caspar,1959-08-15,Male,München,Germany,Web
186,CL-000186,Julie,Spieß,1983-05-19,Female,München,Germany,Partner
187,CL-000187,Lorenzo,Käster,1946-08-31,Male,Berlin,Germany,Referral
188,CL-000188,Rosmarie,Weitzel,1956-04-16,Female,Frankfurt,Switzerland,Referral
189,CL-000189,Gudula,Jessel,1955-08-06,,Düsseldorf,Germany,Web
190,CL-000190,Rosa-Maria,Gumprich,1950-05-03,Female,Stuttgart,Germany,Web
191,CL-000191,Alida,Bien,1956-12-20,Female,Leipzig,Germany,Partner
192,CL-000192,Ivana,Schmidt,1998-02-18,Female,Berlin,Germany,Web
193,CL-000193,Pamela,Briemer,1971-04-20,Female,Stuttgart,Germany,Partner
194,CL-000194,Herlinde,Schuchhardt,1979-06-26,Female,Leipzig,Germany,Referral
195,CL-000195,Eberhard,Trupp,1987-09-11,Male,Frankfurt,Germany,Referral
196,CL-000196,Hans-Jochen,Oderwald,1967-07-04,Male,Stuttgart,Germany,Referral
197,CL-000197,Elena,Finke,1984-12-14,Female,Nürnberg,Germany,Event
198,CL-000198,Marlene,Adolph,2001-01-20,Female,Hamburg,Germany,Web
199,CL-000199,Nevenka,Winkler,2000-07-25,Female,Stuttgart,Germany,Referral
200,CL-000200,Eitel,Wulff,1969-03-29,,Köln,Austria,Partner
201,CL-000201,Dora,Gierschner,1995-01-11,Female,Nürnberg,Austria,Partner
202,CL-000202,Woldemar,Textor,1975-07-22,Male,Bochum,Germany,Web
203,CL-000203,Hinrich,Binner,1978-03-29,Male,Düsseldorf,Germany,Web
204,CL-000204,Elfie,Eberhardt,1971-05-16,Female,Hannover,Germany,Referral
205,CL-000205,Cemal,Mitschke,1985-09-26,Male,Dortmund,Germany,Event
206,CL-000206,Josip,Römer,1980-10-30,Male,Köln,Germany,Event
207,CL-000207,Giorgio,Wende,2000-12-20,Male,Berlin,Germany,Event
208,CL-000208,Heinz-Willi,Schmidtke,1995-10-09,Male,München,Germany,Partner
209,CL-000209,Oskar,Pärtzelt,1969-05-07,Male,München,Germany,Partner
210,CL-000210,Sandy,Rogge,1970-08-27,Female,München,Germany,Referral
211,CL-000211,Tobias,Freudenberger,1990-11-30,Male,Köln,Germany,Referral
212,CL-000212,Sofia,Mülichen,1970-12-08,Female,Köln,Germany,Referral
213,CL-000213,Ellen,Weitzel,1957-02-18,Female,Essen,Germany,Web
214,CL-000214,Sibel,Schweitzer,1959-03-07,Female,Nürnberg,Germany,Referral
215,CL-000215,Ramazan,Wulff,1975-10-13,Male,Köln,Germany,Web
216,CL-000216,Janette,Schomber,1956-08-03,Female,Düsseldorf,Germany,Referral
217,CL-000217,Emmy,Mans,1945-07-31,Female,Hamburg,Germany,Web
218,CL-000218,Olaf,Hörle,1956-04-07,Male,Stuttgart,Germany,Referral
219,CL-000219,Emine,Käster,1962-01-24,Female,Berlin,Germany,Event
220,CL-000220,Tim,Reuter,1945-10-16,Male,Essen,Germany,Referral
221,CL-000221,Christian,Flantz,1956-01-18,Male,Hamburg,Germany,Referral
222,CL-000222,Hans-Joachim,Täsche,1950-09-15,Male,Bochum,Germany,Referral
223,CL-000223,Nikolas,Hamann,1944-09-05,Male,Köln,Germany,Web
224,CL-000224,Herlinde,Ladeck,1962-10-29,Female,München,Germany,Web
225,CL-000225,Jörg,Mohaupt,1968-08-08,Male,München,Austria,Referral
226,CL-000226,Annaliese,Haering,1996-12-26,Female,Dortmund,Germany,Web
227,CL-000227,Sieghard,Krebs,2001-11-18,,Köln,Germany,Referral
228,CL-000228,Pascale,Sauer,2004-09-08,Female,München,Germany,Referral
229,CL-000229,Nico,Bärer,1998-08-11,Male,Frankfurt,Germany,Referral
230,CL-000230,Susanne,Wieloch,1979-06-26,Female,Frankfurt,Germany,Event
231,CL-000231,Hanife,Müller,1940-09-16,Female,München,Germany,Referral
232,CL-000232,Veronique,Kitzmann,1960-08-18,Female,Essen,Germany,Partner
233,CL-000233,Nora,Krebs,1998-05-21,Female,Hamburg,Germany,Referral
234,CL-000234,Tilo,Lindner,1976-12-07,Male,München,Germany,Referral
235,CL-000235,Peter-Michael,Wähner,1977-06-22,Male,Düsseldorf,Germany,Referral
236,CL-000236,Ria,Schleich,2001-05-28,Female,Köln,Germany,Referral
237,CL-000237,Emil,Neuschäfer,1955-03-29,Male,Stuttgart,Germany,Web
238,CL-000238,Emma,Mälzer,1973-05-10,Female,Frankfurt,Germany,Referral
239,CL-000239,Alexander,Krebs,1963-03-08,Male,Düsseldorf,Germany,Partner
240,CL-000240,Marie-Louise,Stiebitz,1994-08-15,Female,Hannover,Germany,Referral
241,CL-000241,Helene,Ullrich,1951-07-17,Female,Hamburg,Germany,Referral
242,CL-000242,Sieghard,Mosemann,2002-11-19,Male,Essen,Germany,Partner
243,CL-000243,Birgid,Scholtz,1976-08-27,Female,Bochum,Germany,Event
244,CL-000244,Aline,Kreusel,1980-08-02,Female,Frankfurt,Germany,Referral
245,CL-000245,Kunigunde,Spieß,1942-02-25,Female,Essen,Germany,Referral
246,CL-000246,Annett,Seifert,1969-06-23,Female,Berlin,Germany,Referral
247,CL-000247,Branka,Misicher,1952-09-03,Female,Frankfurt,Germany,Referral
248,CL-000248,Anika,Heß,1966-02-08,Female,Köln,Germany,Referral
249,CL-000249,Gottlob,Hahn,1971-04-02,Male,Berlin,Germany,Partner
250,CL-000250,Gabriella,Kallert,1992-02-10,Female,Frankfurt,Germany,Referral
251,CL-000251,Theodor,Kramer,1959-03-31,Male,Frankfurt,Germany,Referral
252,CL-000252,Nina,Linke,1957-06-23,Female,München,Germany,Referral
253,CL-000253,Saskia,Butte,1972-04-24,Female,Köln,Germany,Referral
254,CL-000254,Alena,Weiß,1977-01-06,Female,München,Germany,Referral
255,CL-000255,Andres,Killer,1955-07-27,Male,Frankfurt,Germany,Referral
256,CL-000256,Martin,Bohnbach,1993-06-21,Male,Köln,Germany,Referral
257,CL-000257,Woldemar,Siering,1943-01-18,Male,Stuttgart,Germany,Referral
258,CL-000258,Norma,Becker,2004-12-05,Female,München,Germany,Partner
259,CL-000259,Falk,Gute,1997-06-02,Male,Dortmund,Germany,Referral
260,CL-000260,Alexa,Scholtz,1950-09-05,Female,Dortmund,Germany,Web
261,CL-000261,Edith,Eberth,1972-07-14,Female,München,Germany,Referral
262,CL-000262,Mesut,Drewes,1978-09-08,Male,Bochum,Germany,Partner
263,CL-000263,Violetta,Harloff,1971-12-15,Female,Köln,Germany,Referral
264,CL-000264,Mechthild,Hertrampf,1992-06-30,Female,München,Germany,Referral
265,CL-000265,Hans-Erich,Geisel,1981-07-16,Male,Berlin,Germany,Web
266,CL-000266,Laurenz,Weinhold,1989-03-11,Male,München,Germany,Referral
267,CL-000267,Belinda,Wulff,1996-01-23,Female,Bochum,Germany,Referral
268,CL-000268,Darius,Jockel,1947-08-31,Male,Hamburg,Germany,Partner
269,CL-000269,Leonore,Bauer,2003-07-09,Female,Hamburg,Germany,Web
270,CL-000270,Franziska,Ruppert,1986-05-27,Female,Stuttgart,Germany,Event
271,CL-000271,Theres,Kohl,1967-04-20,Female,Düsseldorf,Germany,Partner
272,CL-000272,Veronika,Trubin,1953-10-21,Female,Hamburg,Germany,Referral
273,CL-000273,Arnfried,Scheel,1987-04-22,Male,Berlin,Germany,Web
274,CL-000274,Selim,Schottin,1956-11-01,Male,München,Germany,Partner
275,CL-000275,Bernd,Textor,1992-11-16,Male,Dortmund,Germany,Web
276,CL-000276,Felicia,Stolze,1981-03-02,Female,München,Germany,Partner
277,CL-000277,Rosa,Dussen van,1994-06-29,Female,München,Germany,Web
278,CL-000278,Karl-Wilhelm,Zänker,1943-02-07,Male,München,Germany,Referral
279,CL-000279,Hakan,Reichmann,1969-06-17,Male,Dortmund,Germany,Partner
280,CL-000280,Maria-Luise,Koch II,1944-12-31,Female,Hamburg,Germany,Referral
281,CL-000281,Janus,Seifert,1963-07-13,Male,München,Germany,Referral
282,CL-000282,Adrian,Linke,1996-04-08,Male,Berlin,Germany,Web
283,CL-000283,Jaqueline,Döring,1969-10-23,Female,Düsseldorf,Germany,Referral
284,CL-000284,Wendelin,Klotz,1983-07-24,Female,Berlin,Germany,Web
285,CL-000285,Sylke,Mies,1988-06-10,Female,Dortmund,Germany,Web
286,CL-000286,Cornelius,Lübs,1952-04-17,Male,Berlin,Austria,Web
287,CL-000287,Patric,Preiß,2006-01-03,Male,Frankfurt,Austria,Referral
288,CL-000288,Marvin,Hiller,1982-03-22,Male,Bochum,Germany,Web
289,CL-000289,Rosalie,Renner,1993-01-08,Female,Stuttgart,Germany,Web
290,CL-000290,Janett,Mohaupt,1969-12-13,Female,München,Germany,Referral
291,CL-000291,Sandor,Wagenknecht,1980-08-17,Male,Hamburg,Austria,Web
292,CL-000292,Frank-Peter,Junitz,1998-04-08,Male,Köln,Germany,Partner
293,CL-000293,Ewald,Christoph,1959-04-16,Male,Stuttgart,Germany,Partner
294,CL-000294,Thies,Mende,1956-11-26,Male,Berlin,Germany,Referral
295,CL-000295,Philipp,Mitschke,1979-02-01,Male,Hamburg,Germany,Partner
296,CL-000296,Ljudmila,Staude,1966-02-05,Female,Hamburg,Germany,Referral
297,CL-000297,Gerlind,Baum,1973-12-12,Female,Hamburg,Germany,Referral
298,CL-000298,Sigrun,Junk,1952-09-06,Female,München,Germany,Referral
299,CL-000299,Janine,Hahn,1964-06-15,Female,München,Germany,Referral
300,CL-000300,Renate,Heser,1963-06-21,Female,Nürnberg,Germany,Referral
301,CL-000301,Fredy,Schenk,1988-01-10,Male,München,Austria,Partner
302,CL-000302,Susanne,Hofmann,1978-02-17,Female,Köln,Germany,Web
303,CL-000303,Änne,Plath,2004-10-28,Female,Frankfurt,Germany,Partner
304,CL-000304,Corina,Caspar,1956-09-24,Female,Berlin,Germany,Referral
305,CL-000305,Mira,Ladeck,1973-07-22,Female,Köln,Germany,Event
306,CL-000306,Karl-Georg,Werner,1956-08-30,Male,München,Germany,Referral
307,CL-000307,Murat,Mülichen,1984-04-06,Male,München,Germany,Event
308,CL-000308,Nurettin,Noack,1970-10-22,Male,Köln,Austria,Partner
309,CL-000309,Reingard,Bachmann,1946-08-22,Female,Bochum,Germany,Referral
310,CL-000310,Evi,Hartung,1967-10-30,Female,Düsseldorf,Germany,Partner
311,CL-000311,Mustafa,Henk,1961-02-22,Male,Köln,Germany,Referral
312,CL-000312,Mariana,Salz,1965-06-03,Female,Frankfurt,Germany,Web
313,CL-000313,Hugo,Röhrdanz,1976-06-09,Male,Berlin,Germany,Referral
314,CL-000314,H.-Dieter,Löffler,2008-02-17,Male,Bochum,Germany,Referral
315,CL-000315,Natascha,Rogner,1962-10-26,Female,Frankfurt,Germany,Web
316,CL-000316,Hanns,Tintzmann,1971-03-09,Male,Köln,Germany,Web
317,CL-000317,Franz-Josef,Jäkel,1957-06-01,Male,München,Germany,Referral
318,CL-000318,Herrmann,Dussen van,1989-05-23,,Köln,Germany,Web
319,CL-000319,Hans-Josef,Jopich,1948-06-11,,Frankfurt,Germany,Web
320,CL-000320,Natalie,Reising,2005-01-06,Female,Nürnberg,Germany,Referral
321,CL-000321,Olga,Stumpf,1952-11-27,Female,Berlin,Germany,Web
322,CL-000322,Corinna,Hande,1990-07-28,Female,Stuttgart,Germany,Referral
323,CL-000323,Janett,Hofmann,1989-08-13,Female,Bochum,Germany,Partner
324,CL-000324,Klaus-Werner,Wesack,1976-01-04,Male,Düsseldorf,Germany,Partner
325,CL-000325,Kornelius,Holzapfel,2007-01-12,Male,Stuttgart,Germany,Referral
326,CL-000326,Berend,Gude,1960-06-20,Male,Hamburg,Germany,Event
327,CL-000327,Dorothea,Klingelhöfer,1952-07-09,Female,Nürnberg,Germany,Referral
328,CL-000328,Felicitas,Austermühle,1988-06-27,Female,Hamburg,Germany,Partner
329,CL-000329,Katherina,Eberth,1958-12-23,Female,Berlin,Germany,Referral
330,CL-000330,Angelica,Bloch,1977-12-18,Female,Stuttgart,Germany,Referral
331,CL-000331,Klaus-Günter,Thanel,2004-07-21,,München,Germany,Event
332,CL-000332,Bianka,Schweitzer,1999-05-29,Female,Bochum,Germany,Referral
333,CL-000333,Nina,Noack,1947-04-16,Female,Essen,Germany,Referral
334,CL-000334,Sükrü,Aumann,1979-05-17,Male,Düsseldorf,Germany,Web
335,CL-000335,Friedhelm,Möchlichen,1972-11-19,Male,Düsseldorf,Germany,Referral
